scenario_id,repeat,level,document_process,field_process,exact_process,document_legacy,field_legacy,exact_legacy,field_activities,field_actors,field_systems,field_inputs,field_outputs,field_decisions,field_exceptions,answer_words,unsure_answers,input_tokens,output_tokens,provenance_carried,provenance_lost,provenance_recovered,provenance_dropped,provenance_unsupported,provenance_missed
S01,1,L3,0.875,0.8036,0.4643,0.8906,0.8281,0.5312,0.625,1.0,1.0,0.75,0.5,1.0,0.75,254,0,2862,4171,5,0,17,3,0,4
S01,1,L3p,0.9286,0.5774,0.2083,0.9375,0.6302,0.3073,0.625,0.6667,0.5,0.75,0.75,0.0,0.75,291,0,2972,4904,2,3,13,2,3,6
S01,1,L2,0.8452,0.6369,0.2798,0.8646,0.6823,0.3698,0.875,0.3333,0.75,0.75,0.5,0.5,0.75,64,0,2689,3666,4,1,14,0,2,8
S01,1,L1,0.8095,0.619,0.2798,0.8333,0.6667,0.3698,0.75,0.3333,0.5,0.75,0.25,1.0,0.75,163,3,2816,3668,5,0,11,1,2,10
S01,1,L0,0.494,0.25,0.0536,0.5573,0.3438,0.1719,0.5,0.0,0.5,0.25,0.25,0.0,0.25,112,0,2769,3303,4,1,1,0,4,19
S01,2,L3,0.9524,0.8631,0.506,0.9583,0.8802,0.5677,0.875,0.6667,1.0,1.0,0.75,1.0,0.75,296,0,3081,4930,5,0,19,2,1,2
S01,2,L3p,0.8095,0.506,0.2738,0.8333,0.5677,0.3646,0.625,0.6667,0.5,0.5,0.5,0.5,0.25,314,0,3158,4885,3,2,12,2,0,10
S01,2,L2,0.8393,0.6667,0.3274,0.8594,0.7083,0.4115,0.75,0.6667,0.75,0.75,0.75,0.5,0.5,93,0,2894,3870,4,1,13,0,3,8
S01,2,L1,0.6845,0.6012,0.2262,0.724,0.651,0.3229,0.625,0.3333,0.5,0.75,0.25,1.0,0.75,152,3,2967,4135,5,0,9,2,3,10
S01,2,L0,0.5119,0.2321,0.125,0.5729,0.3281,0.2344,0.375,0.0,0.5,0.0,0.5,0.0,0.25,125,0,2949,4196,3,2,0,0,5,19
S01,3,L3,0.9167,0.7917,0.3631,0.9271,0.8177,0.4427,0.875,0.6667,1.0,1.0,0.25,1.0,0.75,289,0,2999,4828,5,0,15,2,3,4
S01,3,L3p,0.881,0.7024,0.2738,0.8958,0.7396,0.3646,0.5,0.6667,0.75,1.0,0.5,0.5,1.0,323,0,3100,5044,4,1,16,4,0,4
S01,3,L2,0.7738,0.6012,0.2262,0.8021,0.651,0.3229,0.875,0.3333,0.75,0.75,0.25,0.5,0.75,70,0,2775,3981,4,1,11,1,4,8
S01,3,L1,0.8452,0.5119,0.2262,0.8646,0.5729,0.3229,0.5,0.3333,0.0,1.0,0.25,1.0,0.5,151,3,2889,3777,4,1,10,2,0,12
S01,3,L0,0.4702,0.1964,0.0357,0.5365,0.2969,0.1562,0.375,0.0,0.5,0.0,0.25,0.0,0.25,148,0,2888,4137,4,1,0,0,3,21
S01,4,L3,0.9167,0.8095,0.5417,0.9271,0.8333,0.599,0.75,0.6667,0.75,1.0,0.75,1.0,0.75,278,0,2919,4095,5,0,18,3,0,3
S01,4,L3p,0.9107,0.7202,0.2083,0.9219,0.7552,0.3073,0.375,0.6667,0.5,1.0,0.75,1.0,0.75,304,0,3008,4346,2,3,16,2,1,5
S01,4,L2,0.7024,0.5774,0.2738,0.7396,0.6302,0.3646,0.625,0.6667,0.25,0.75,0.25,1.0,0.5,85,0,2744,3782,5,0,11,0,0,13
S01,4,L1,0.7381,0.4583,0.3155,0.7708,0.526,0.401,0.625,0.3333,0.5,1.0,0.25,0.0,0.5,151,3,2819,3749,5,0,10,2,0,12
S01,4,L0,0.5417,0.125,0.0,0.599,0.2344,0.125,0.375,0.0,0.25,0.0,0.0,0.0,0.25,120,0,2803,3724,3,2,0,0,2,22
S01,5,L3,0.8393,0.7024,0.506,0.8594,0.7396,0.5677,0.75,0.6667,1.0,0.75,0.75,0.5,0.5,248,0,2932,4178,4,1,17,1,0,6
S01,5,L3p,0.9821,0.8214,0.3631,0.9844,0.8438,0.4427,0.5,1.0,1.0,1.0,0.75,0.5,1.0,290,0,3048,4770,3,2,20,4,0,0
S01,5,L2,0.7083,0.494,0.2976,0.7448,0.5573,0.3854,0.375,0.3333,0.75,0.75,0.25,0.5,0.5,77,0,2777,3456,2,3,10,0,2,12
S01,5,L1,0.7381,0.6012,0.2679,0.7708,0.651,0.3594,0.625,0.3333,0.5,0.75,0.25,1.0,0.75,148,3,2872,3783,4,1,12,0,1,11
S01,5,L0,0.369,0.1964,0.0536,0.4479,0.2969,0.1719,0.375,0.0,0.5,0.0,0.25,0.0,0.25,113,0,2844,3685,4,1,0,0,3,21
S02,1,L3,0.9048,0.7381,0.534,0.9167,0.7708,0.5923,1.0,0.6667,1.0,1.0,0.3333,0.6667,0.5,256,0,2927,4379,3,0,16,3,2,3
S02,1,L3p,0.9167,0.6259,0.1667,0.9271,0.6726,0.2708,0.7143,0.6667,1.0,0.75,0.3333,0.6667,0.25,260,0,2985,4504,3,0,9,2,5,8
S02,1,L2,0.7857,0.3997,0.2823,0.8125,0.4747,0.372,0.7143,0.3333,0.3333,0.5,0.3333,0.3333,0.25,77,0,2753,3462,3,0,7,5,2,10
S02,1,L1,0.7296,0.5221,0.2704,0.7634,0.5818,0.3616,0.5714,0.3333,1.0,0.75,0.6667,0.3333,0.0,159,3,2849,3883,3,0,9,3,2,10
S02,1,L0,0.4269,0.1429,0.0476,0.4568,0.2083,0.125,0.0,0.3333,0.3333,0.0,0.3333,0.0,0.0,123,0,2828,3268,3,0,0,0,0,24
S02,2,L3,0.881,0.7568,0.5374,0.8958,0.7872,0.5952,0.7143,0.6667,1.0,0.75,1.0,0.6667,0.5,244,0,2833,4072,3,0,15,1,2,6
S02,2,L3p,0.9524,0.6327,0.2551,0.9583,0.6786,0.3482,0.4286,0.6667,0.6667,0.5,1.0,0.6667,0.5,299,0,2938,4873,3,0,12,3,1,8
S02,2,L2,0.9048,0.5578,0.2823,0.9167,0.6131,0.372,0.5714,0.6667,0.6667,0.75,0.3333,0.6667,0.25,85,0,2691,3652,3,0,8,3,4,9
S02,2,L1,0.7296,0.6139,0.2704,0.7634,0.6622,0.3616,0.7143,0.3333,1.0,0.75,0.3333,0.6667,0.5,169,3,2786,3498,3,0,8,1,6,9
S02,2,L0,0.4184,0.2466,0.0476,0.4911,0.3408,0.1667,0.1429,0.0,0.3333,0.0,0.3333,0.6667,0.25,138,0,2771,3555,2,1,0,0,4,20
S02,3,L3,0.869,0.7976,0.4422,0.8854,0.8229,0.5119,1.0,0.6667,1.0,1.0,0.6667,1.0,0.25,287,0,2949,4344,3,0,17,2,2,3
S02,3,L3p,0.9524,0.6412,0.2976,0.9583,0.686,0.3854,0.5714,0.6667,0.6667,1.0,0.6667,0.6667,0.25,310,0,3036,4431,3,0,11,3,3,7
S02,3,L2,0.7857,0.483,0.3061,0.8125,0.5476,0.3929,0.7143,0.3333,0.6667,0.75,0.3333,0.3333,0.25,85,0,2755,3499,3,0,8,1,3,12
S02,3,L1,0.801,0.5578,0.3384,0.8259,0.6131,0.4211,0.5714,0.3333,1.0,0.75,0.3333,0.6667,0.25,175,3,2866,3672,3,0,12,3,0,9
S02,3,L0,0.5374,0.3537,0.0833,0.5952,0.4345,0.1979,0.1429,0.3333,0.3333,0.5,0.3333,0.3333,0.5,153,0,2854,3586,3,0,0,0,6,18
S02,4,L3,0.9524,0.8333,0.6122,0.9583,0.8542,0.6607,1.0,0.6667,1.0,1.0,1.0,0.6667,0.5,282,0,2937,4642,3,0,19,2,1,2
S02,4,L3p,0.9167,0.7687,0.2976,0.9271,0.7976,0.3854,0.7143,0.6667,1.0,0.75,1.0,1.0,0.25,316,0,3021,4588,3,0,16,3,1,4
S02,4,L2,0.8963,0.5663,0.4014,0.9092,0.6205,0.4762,0.7143,0.6667,0.6667,1.0,0.3333,0.3333,0.25,70,0,2720,3122,2,1,10,1,4,9
S02,4,L1,0.869,0.7381,0.4983,0.8854,0.7708,0.561,1.0,0.3333,1.0,1.0,1.0,0.3333,0.5,148,3,2813,3451,3,0,16,3,2,3
S02,4,L0,0.5017,0.2347,0.0833,0.564,0.3304,0.1979,0.1429,0.0,0.3333,0.25,0.3333,0.3333,0.25,121,0,2801,3255,2,1,0,0,4,20
S02,5,L3,0.881,0.7568,0.5646,0.8958,0.7872,0.619,0.7143,0.6667,1.0,0.75,1.0,0.6667,0.5,315,0,2915,3615,3,0,17,6,0,1
S02,5,L3p,0.9167,0.5969,0.398,0.9271,0.6473,0.4732,0.4286,0.6667,0.6667,0.5,1.0,0.6667,0.25,312,0,2970,4367,3,0,11,9,1,3
S02,5,L2,0.9524,0.6122,0.4405,0.9583,0.6607,0.5104,0.2857,0.6667,1.0,0.75,0.6667,0.6667,0.25,95,0,2682,3131,3,0,10,3,2,9
S02,5,L1,0.9524,0.7092,0.5374,0.9583,0.7455,0.5952,0.7143,0.6667,1.0,1.0,1.0,0.3333,0.25,171,3,2782,3498,3,0,15,5,1,3
S02,5,L0,0.6735,0.318,0.0833,0.7143,0.4033,0.1979,0.1429,0.0,0.6667,0.5,0.3333,0.3333,0.25,133,0,2760,3857,2,1,0,0,6,18
S03,1,L3,0.9643,0.8571,0.7321,0.9688,0.875,0.7656,1.0,1.0,1.0,0.5,1.0,0.5,1.0,253,0,2922,4924,1,0,25,0,1,3
