scenario_id,arm,overall_score,structured_only_score,activities,actors,systems,inputs,outputs,decisions,exceptions,automation_opportunities,answer_words,pipeline_calls,input_tokens,output_tokens
S01,generic,0.984,0.984,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,260,3,2938,4766
S01,gapelicit,0.906,0.906,1.0,1.0,1.0,0.75,0.5,1.0,1.0,1.0,220,3,2836,4140
S01,coordinated,0.938,0.938,1.0,1.0,1.0,1.0,0.75,1.0,0.75,1.0,247,5,4325,6685
S02,generic,1.0,0.958,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,302,3,2975,4033
S02,gapelicit,0.927,0.927,1.0,0.667,1.0,0.75,1.0,1.0,1.0,1.0,265,3,2928,4153
S02,coordinated,0.909,0.909,0.857,0.667,1.0,1.0,1.0,1.0,0.75,1.0,271,5,4390,6352
S03,generic,0.969,0.969,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,251,3,2954,4341
S03,gapelicit,0.938,0.938,1.0,0.75,1.0,1.0,1.0,1.0,0.75,1.0,273,3,3028,4881
S03,coordinated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,243,5,4457,6964
S04,generic,0.938,0.906,1.0,1.0,0.75,1.0,1.0,1.0,0.75,1.0,303,3,3057,4422
S04,gapelicit,0.747,0.747,0.625,1.0,0.75,1.0,0.6,1.0,0.0,1.0,221,3,3045,4435
S04,coordinated,0.922,0.891,0.875,1.0,1.0,1.0,1.0,1.0,0.5,1.0,285,5,4577,6982
S05,generic,0.938,0.938,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,305,3,3003,4115
S05,gapelicit,0.969,0.969,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,221,3,2932,4248
S05,coordinated,0.938,0.938,1.0,1.0,1.0,1.0,0.75,1.0,0.75,1.0,277,5,4503,6698
S06,generic,0.875,0.844,1.0,1.0,1.0,0.75,0.75,0.5,1.0,1.0,270,3,2943,3424
S06,gapelicit,0.844,0.844,1.0,1.0,1.0,0.75,1.0,0.5,0.5,1.0,222,3,2881,4222
S06,coordinated,0.865,0.833,1.0,1.0,0.75,0.75,1.0,1.0,0.75,0.667,291,5,4410,6132
S07,generic,0.735,0.735,0.714,1.0,0.75,1.0,0.75,0.5,0.5,0.667,222,3,2823,3696
S07,gapelicit,0.735,0.735,0.714,1.0,0.5,1.0,0.75,0.5,0.75,0.667,238,3,2876,4165
S07,coordinated,0.704,0.704,0.714,1.0,0.5,0.75,0.75,0.5,0.75,0.667,223,5,4254,5704
S08,generic,0.927,0.927,1.0,0.667,1.0,0.75,1.0,1.0,1.0,1.0,203,3,2569,3459
S08,gapelicit,0.865,0.865,1.0,0.667,1.0,1.0,1.0,1.0,0.25,1.0,176,3,2663,4278
S08,coordinated,0.896,0.896,1.0,0.667,1.0,1.0,1.0,1.0,0.5,1.0,201,5,4052,5989
