corpus,domain,group,scenario_id,criterion,activities,actors,systems,inputs,outputs,decisions,exceptions,automation_opportunities,legacy_overall,process_overall
runs,semiconductor_work,one_shot,S01,document,0.875,0.6667,0.75,0.5,0.75,0.5,0.25,1.0,0.6615,0.6131
runs,semiconductor_work,one_shot,S01,field,0.375,0.3333,0.75,0.0,0.25,0.0,0.25,1.0,0.3698,0.2798
runs,semiconductor_work,one_shot,S01,exact,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.1875,0.0714
runs,semiconductor_work,checklist,S01,document,0.875,0.6667,0.75,0.25,0.75,0.5,0.25,1.0,0.6302,0.5774
runs,semiconductor_work,checklist,S01,field,0.375,0.0,0.5,0.0,0.25,0.0,0.25,1.0,0.2969,0.1964
runs,semiconductor_work,checklist,S01,exact,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.1562,0.0357
runs,semiconductor_work,update,S01,document,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.9375,0.9286
runs,semiconductor_work,update,S01,field,0.625,1.0,1.0,0.25,1.0,1.0,0.75,1.0,0.8281,0.8036
runs,semiconductor_work,update,S01,exact,0.25,1.0,1.0,0.25,0.75,0.0,0.0,1.0,0.5312,0.4643
runs,semiconductor_work,one_shot,S02,document,0.5714,0.3333,0.3333,0.5,0.3333,1.0,0.5,1.0,0.5714,0.5102
runs,semiconductor_work,one_shot,S02,field,0.2857,0.3333,0.3333,0.5,0.3333,0.3333,0.25,1.0,0.4211,0.3384
runs,semiconductor_work,one_shot,S02,exact,0.0,0.0,0.0,0.25,0.3333,0.0,0.0,1.0,0.1979,0.0833
runs,semiconductor_work,checklist,S02,document,0.8571,0.3333,1.0,0.75,0.6667,1.0,1.0,1.0,0.8259,0.801
runs,semiconductor_work,checklist,S02,field,0.2857,0.3333,0.6667,0.75,0.3333,0.3333,0.25,1.0,0.494,0.4218
runs,semiconductor_work,checklist,S02,exact,0.1429,0.0,0.0,0.5,0.3333,0.0,0.0,1.0,0.247,0.1395
runs,semiconductor_work,update,S02,document,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
runs,semiconductor_work,update,S02,field,0.8571,0.6667,1.0,1.0,1.0,0.6667,1.0,1.0,0.8988,0.8844
runs,semiconductor_work,update,S02,exact,0.1429,0.6667,0.6667,1.0,0.6667,0.3333,0.5,1.0,0.622,0.568
runs,semiconductor_work,one_shot,S03,document,1.0,1.0,0.75,0.75,1.0,0.5,0.5,1.0,0.8125,0.7857
