domain,scenario_id,arm,process_coverage,legacy_coverage,structured_coverage,activities,actors,systems,inputs,outputs,decisions,exceptions,answer_words,cached_baseline,input_tokens,output_tokens
childcare,C01,generic,0.8571428571428571,0.875,0.875,1.0,0.75,0.5,1.0,0.75,1.0,1.0,270,False,3055,4807
childcare,C01,common,0.8214285714285714,0.844,0.844,1.0,0.5,0.75,0.75,0.75,1.0,1.0,221,False,3144,4504
childcare,C01,domain,0.9285714285714286,0.938,0.938,1.0,1.0,0.75,1.0,0.75,1.0,1.0,263,False,3572,4765
childcare,C02,generic,0.9285714285714286,0.938,0.938,1.0,1.0,1.0,1.0,0.75,1.0,0.75,285,False,3089,4682
childcare,C02,common,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,297,False,3136,4206
childcare,C02,domain,0.9107142857142857,0.922,0.922,0.875,1.0,1.0,0.75,0.75,1.0,1.0,236,False,3358,4458
childcare,C03,generic,0.7142857142857143,0.667,0.667,1.0,0.25,0.5,0.75,0.75,1.0,0.75,217,False,3079,3587
childcare,C03,common,0.8214285714285714,0.844,0.844,1.0,0.75,0.5,1.0,0.75,1.0,0.75,231,False,3108,4937
childcare,C03,domain,0.8035714285714286,0.844,0.828,0.875,0.5,0.5,0.75,1.0,1.0,1.0,181,False,3379,4617
childcare,C04,generic,0.9642857142857143,0.969,0.969,1.0,1.0,1.0,0.75,1.0,1.0,1.0,272,False,3166,4669
childcare,C04,common,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,294,False,3296,5047
childcare,C04,domain,0.9642857142857143,0.969,0.969,1.0,0.75,1.0,1.0,1.0,1.0,1.0,250,False,3460,4812
childcare,C05,generic,0.8392857142857143,0.859,0.859,0.875,1.0,1.0,0.5,1.0,1.0,0.5,200,False,2942,3891
childcare,C05,common,0.7678571428571429,0.812,0.797,0.875,1.0,1.0,0.5,0.5,1.0,0.5,236,False,3179,4431
