scenario_id,repeat,arm,overall_score,structured_only_score,activities,actors,systems,inputs,outputs,decisions,exceptions,automation_opportunities,question_count,answer_words,input_tokens,output_tokens
S01,1,gapelicit,0.906,0.906,1.0,1.0,1.0,0.75,0.5,1.0,1.0,1.0,6,220,2836,4140
S01,1,generic,0.984,0.984,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,260,2938,4766
S02,1,gapelicit,0.927,0.927,1.0,0.667,1.0,0.75,1.0,1.0,1.0,1.0,6,265,2928,4153
S02,1,generic,1.0,0.958,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,302,2975,4033
S03,1,gapelicit,0.938,0.938,1.0,0.75,1.0,1.0,1.0,1.0,0.75,1.0,6,273,3028,4881
S03,1,generic,0.969,0.969,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,6,251,2954,4341
S04,1,gapelicit,0.747,0.747,0.625,1.0,0.75,1.0,0.6,1.0,0.0,1.0,6,221,3045,4435
S04,1,generic,0.938,0.906,1.0,1.0,0.75,1.0,1.0,1.0,0.75,1.0,6,303,3057,4422
S05,1,gapelicit,0.969,0.969,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,6,221,2932,4248
S05,1,generic,0.938,0.938,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,6,305,3003,4115
S06,1,gapelicit,0.844,0.844,1.0,1.0,1.0,0.75,1.0,0.5,0.5,1.0,6,222,2881,4222
S06,1,generic,0.875,0.844,1.0,1.0,1.0,0.75,0.75,0.5,1.0,1.0,6,270,2943,3424
S07,1,gapelicit,0.735,0.735,0.714,1.0,0.5,1.0,0.75,0.5,0.75,0.667,6,238,2876,4165
S07,1,generic,0.735,0.735,0.714,1.0,0.75,1.0,0.75,0.5,0.5,0.667,6,222,2823,3696
S08,1,gapelicit,0.865,0.865,1.0,0.667,1.0,1.0,1.0,1.0,0.25,1.0,6,176,2663,4278
S08,1,generic,0.927,0.927,1.0,0.667,1.0,0.75,1.0,1.0,1.0,1.0,6,203,2569,3459
