scenario_id,stage,stage_label,model,parse_success,run_file,activities_score,actors_score,systems_score,inputs_score,outputs_score,decisions_score,exceptions_score,automation_opportunities_score,activities_covered,actors_covered,systems_covered,inputs_covered,outputs_covered,decisions_covered,exceptions_covered,automation_opportunities_covered,activities_total,actors_total,systems_total,inputs_total,outputs_total,decisions_total,exceptions_total,automation_opportunities_total,overall_score
S01,one_shot,One-shot,claude-sonnet-4-6,yes,data/runs/2026-09-05T02-29-38-015Z_S01_one_shot.json,0.875,0.667,0.75,0.5,0.75,0.5,0.25,1.0,7,2,3,2,3,1,1,3,8,3,4,4,4,2,4,3,0.661
S01,checklist,Checklist,claude-sonnet-4-6,yes,data/runs/2026-09-05T02-46-44-698Z_S01_checklist.json,0.875,0.667,0.75,0.25,0.75,0.5,0.25,1.0,7,2,3,1,3,1,1,3,8,3,4,4,4,2,4,3,0.63
S01,update,Active,claude-sonnet-4-6,yes,data/runs/2026-09-05T02-53-16-509Z_S01_update.json,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,8,3,4,2,4,2,4,3,8,3,4,4,4,2,4,3,0.938
S02,one_shot,One-shot,claude-sonnet-4-6,yes,data/runs/2026-09-05T02-54-09-381Z_S02_one_shot.json,0.571,0.333,0.333,0.5,0.333,1.0,0.5,1.0,4,1,1,2,1,3,2,3,7,3,3,4,3,3,4,3,0.571
S02,checklist,Checklist,claude-sonnet-4-6,yes,data/runs/2026-09-05T02-57-09-384Z_S02_checklist.json,0.857,0.333,1.0,0.75,0.667,1.0,1.0,1.0,6,1,3,3,2,3,4,3,7,3,3,4,3,3,4,3,0.826
S02,update,Active,claude-sonnet-4-6,yes,data/runs/2026-09-05T03-03-08-387Z_S02_update.json,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,3,3,4,3,3,4,3,7,3,3,4,3,3,4,3,1.0
S03,one_shot,One-shot,claude-sonnet-4-6,yes,data/runs/2026-09-05T03-07-14-261Z_S03_one_shot.json,1.0,1.0,0.75,0.75,1.0,0.5,0.5,1.0,8,4,3,3,4,1,2,3,8,4,4,4,4,2,4,3,0.812
S03,checklist,Checklist,claude-sonnet-4-6,yes,data/runs/2026-09-05T03-08-56-083Z_S03_checklist.json,1.0,0.25,1.0,0.5,1.0,1.0,1.0,1.0,8,1,4,2,4,2,4,3,8,4,4,4,4,2,4,3,0.844
S03,update,Active,claude-sonnet-4-6,yes,data/runs/2026-09-05T03-14-48-153Z_S03_update.json,1.0,1.0,1.0,0.75,1.0,0.5,0.75,1.0,8,4,4,3,4,1,3,3,8,4,4,4,4,2,4,3,0.875
S04,one_shot,One-shot,claude-sonnet-4-6,yes,data/runs/2026-09-05T03-15-47-823Z_S04_one_shot.json,0.875,0.6,1.0,0.75,0.8,0.5,0.5,1.0,7,3,4,3,4,1,2,3,8,5,4,4,5,2,4,3,0.753
S04,checklist,Checklist,claude-sonnet-4-6,yes,data/runs/2026-09-05T03-18-35-031Z_S04_checklist.json,0.875,0.4,1.0,0.75,0.6,0.5,0.25,1.0,7,2,4,3,3,1,1,3,8,5,4,4,5,2,4,3,0.672
S04,update,Active,claude-sonnet-4-6,yes,data/runs/2026-09-05T03-21-36-005Z_S04_update.json,0.875,1.0,1.0,0.5,1.0,1.0,0.75,1.0,7,5,4,2,5,2,3,3,8,5,4,4,5,2,4,3,0.891
S05,one_shot,One-shot,claude-sonnet-4-6,yes,data/runs/2026-09-05T03-22-48-740Z_S05_one_shot.json,0.571,0.25,0.0,0.75,0.75,0.5,0.5,1.0,4,1,0,3,3,1,2,3,7,4,4,4,4,2,4,3,0.54
S05,checklist,Checklist,claude-sonnet-4-6,yes,data/runs/2026-09-05T03-23-35-576Z_S05_checklist.json,0.714,0.25,0.25,0.75,0.75,0.5,0.5,1.0,5,1,1,3,3,1,2,3,7,4,4,4,4,2,4,3,0.589
S05,update,Active,claude-sonnet-4-6,no,data/runs/2026-09-05T03-33-58-987Z_S05_update.json,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,4,4,4,4,2,4,3,7,4,4,4,4,2,4,3,1.0
S06,one_shot,One-shot,claude-sonnet-4-6,yes,data/runs/2026-09-05T03-34-58-803Z_S06_one_shot.json,1.0,0.4,0.75,1.0,0.75,1.0,0.75,1.0,7,2,3,4,3,2,3,3,7,5,4,4,4,2,4,3,0.831
S06,checklist,Checklist,claude-sonnet-4-6,yes,data/runs/2026-09-05T03-36-20-957Z_S06_checklist.json,1.0,0.4,0.75,0.75,0.75,0.5,0.75,1.0,7,2,3,3,3,1,3,3,7,5,4,4,4,2,4,3,0.738
S06,update,Active,claude-sonnet-4-6,yes,data/runs/2026-09-05T03-43-34-661Z_S06_update.json,0.857,0.8,1.0,0.75,0.75,1.0,0.5,1.0,6,4,4,3,3,2,2,3,7,5,4,4,4,2,4,3,0.832
S07,one_shot,One-shot,claude-sonnet-4-6,yes,data/runs/2026-09-05T03-44-20-320Z_S07_one_shot.json,0.714,0.75,0.75,1.0,0.75,0.5,0.5,1.0,5,3,3,4,3,1,2,3,7,4,4,4,4,2,4,3,0.746
S07,checklist,Checklist,claude-sonnet-4-6,yes,data/runs/2026-09-05T03-45-06-161Z_S07_checklist.json,0.714,0.75,0.75,1.0,0.75,1.0,1.0,1.0,5,3,3,4,3,2,4,3,7,4,4,4,4,2,4,3,0.871
S07,update,Active,claude-sonnet-4-6,yes,data/runs/2026-09-05T03-48-24-154Z_S07_update.json,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,7,4,4,4,4,2,3,3,7,4,4,4,4,2,4,3,0.969
S08,one_shot,One-shot,claude-sonnet-4-6,yes,data/runs/2026-09-05T03-49-27-542Z_S08_one_shot.json,0.833,1.0,1.0,0.5,1.0,1.0,0.75,1.0,5,3,3,2,3,2,3,3,6,3,3,4,3,2,4,3,0.885
